conf,precision,recall,f1,mAP50,mAP50-95
0.0,0.5168598880449237,0.47254970393713536,0.4881851300964826,0.4866968915379865,0.30132053783736085
0.02,0.5168598880449237,0.47254970393713536,0.4881851300964826,0.49142144747666655,0.31436949680995263
0.04,0.5104321088519467,0.5152340997785783,0.5072197234496392,0.49634063309086324,0.32566287005244277
0.06,0.4829109938549063,0.5342424242424242,0.5025277124622103,0.5005787435046031,0.3318022208133369
0.08,0.5184974747474748,0.4706379585326954,0.48768164542812426,0.4896748919524312,0.32920648620059334
0.1,0.5511638120333773,0.4134130781499203,0.46376323342509784,0.48111355750917895,0.32732245787800285
0.12,0.6122493941396784,0.3704306220095694,0.4465145864052968,0.48615286256883067,0.3279600578699831
0.14,0.6562881562881562,0.3207814992025518,0.41210383572258813,0.4853569878215107,0.3280306301309913
0.16,0.6154929577464788,0.2596012759170654,0.34124306492727546,0.44486921153317543,0.30029067143896976
0.18,0.6691919191919192,0.2420255183413078,0.32775973459053603,0.46036078690816007,0.3110387523930086
0.2,0.7234972677595627,0.21448165869218497,0.29744880763225406,0.47340401732911036,0.31681141736479396
0.22,0.7298245614035087,0.20781499202551834,0.2939146329543519,0.472576789492918,0.3160905190075472
0.24,0.819706498951782,0.18146730462519936,0.26015581807883165,0.5026999244394785,0.3305663081105238
0.26,0.7721088435374149,0.1584529505582137,0.22679700418247253,0.46845204619972364,0.3240461992897259
0.28,0.776595744680851,0.14634768740031898,0.20845751901652523,0.46409590479996526,0.31232911109645217
0.3,0.7803030303030303,0.1396810207336523,0.2028830670135018,0.4624556368724632,0.31115826666695834
0.32,0.7845528455284553,0.1330143540669856,0.19707140428694547,0.4609893186378522,0.3121378182806563
0.34,0.4696969696969697,0.10757575757575756,0.16486869347281247,0.2890981304149567,0.19511522404050113
0.36,0.2976190476190476,0.08333333333333333,0.13020833333333334,0.18958683473389357,0.1367822181851807
0.38,0.2976190476190476,0.08333333333333333,0.13020833333333334,0.18958683473389357,0.1367822181851807
0.4,0.29333333333333333,0.07333333333333333,0.11733333333333333,0.18317254901960786,0.1332592199488491
0.42,0.29333333333333333,0.07333333333333333,0.11733333333333333,0.18317254901960786,0.1332592199488491
0.44,0.29333333333333333,0.07333333333333333,0.11733333333333333,0.18317254901960786,0.1332592199488491
0.46,0.2916666666666667,0.06999999999999999,0.11290322580645162,0.18095588235294122,0.13130977550440465
0.48,0.2833333333333333,0.05666666666666667,0.09444444444444446,0.17153921568627453,0.12372899698340876
0.5,0.2807017543859649,0.05333333333333334,0.08963585434173671,0.16900412796697628,0.1205281197904263
0.52,0.3137254901960784,0.05333333333333334,0.09116809116809117,0.1830392156862745,0.1309966440422323
0.54,0.3111111111111111,0.04666666666666667,0.08115942028985508,0.17855555555555558,0.12616745014245015
0.56,0.30952380952380953,0.043333333333333335,0.07602339181286549,0.17619047619047615,0.12228967236467235
0.58,0.3076923076923077,0.04,0.07079646017699116,0.17371794871794877,0.11804608262108264
0.6,0.3055555555555555,0.03666666666666667,0.06547619047619048,0.1711111111111111,0.11194351851851853
0.62,0.3,0.03,0.05454545454545454,0.1653333333333333,0.11358796296296297
0.64,0.3,0.03,0.05454545454545454,0.1653333333333333,0.11358796296296297
0.66,0.3,0.03,0.05454545454545454,0.1653333333333333,0.11358796296296297
0.68,0.2962962962962963,0.02666666666666667,0.04892966360856269,0.16203703703703706,0.11308796296296295
0.7000000000000001,0.2962962962962963,0.02666666666666667,0.04892966360856269,0.16203703703703706,0.11308796296296295
0.72,0.2916666666666667,0.023333333333333334,0.043209876543209874,0.15833333333333333,0.10851388888888887
0.74,0.3333333333333333,0.02,0.03773584905660377,0.17666666666666664,0.12379166666666667
0.76,0.3333333333333333,0.016666666666666666,0.031746031746031744,0.17500000000000004,0.11945833333333335
0.78,0.3333333333333333,0.016666666666666666,0.031746031746031744,0.17500000000000004,0.11945833333333335
0.8,0.3333333333333333,0.016666666666666666,0.031746031746031744,0.17500000000000004,0.11945833333333335
0.8200000000000001,0.3333333333333333,0.016666666666666666,0.031746031746031744,0.17500000000000004,0.11945833333333335
0.84,0.3333333333333333,0.013333333333333334,0.025641025641025644,0.1733333333333333,0.14279166666666665
0.86,0.3333333333333333,0.01,0.019417475728155338,0.17166666666666663,0.1428333333333333
0.88,0.3333333333333333,0.01,0.019417475728155338,0.17166666666666663,0.1428333333333333
0.9,0.3333333333333333,0.01,0.019417475728155338,0.17166666666666663,0.1428333333333333
0.92,0.3333333333333333,0.006666666666666667,0.013071895424836602,0.17,0.13583333333333333
0.9400000000000001,0.3333333333333333,0.006666666666666667,0.013071895424836602,0.17,0.13583333333333333
0.96,0.3333333333333333,0.006666666666666667,0.013071895424836602,0.17,0.13583333333333333
0.98,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
